"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-13",,,,,,,,,"0.54",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-16",,,,,,,,,"0.31",",,N","1.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-17",,,,,,,,,"0.03",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-19",,,,,,,,,"0.01",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-22",,,"    3",",,N","0.00",",,N",,,,,,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-24",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-25",,,,,,,,,"0.00","T,,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-26",,,,,,,,,"0.06",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-28",,,,,,,,,"1.24",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-29",,,,,,,,,"0.10",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-01-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-09",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-11",,,,,,,,,"0.63",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-12",,,,,,,,,"0.48",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-13",,,,,,,,,"0.40",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-14",,,,,,,,,"0.00","T,,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-16",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-19",,,"    3",",,N","0.00",",,N",,,,,,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-22",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-24",,,,,,,,,"0.23",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-25",,,,,,,,,"0.18",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-27",,,,,,,,,"0.00","T,,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-28",,,,,,,,,"0.54",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-02-29",,,,,,,,,"0.57",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-04",,,"    3",",,N","1.31",",,N",,,,,,,"0.0",",,N",,,,,,,,,,,,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-05",,,,,,,,,"0.53",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-07",,,,,,,,,"0.62",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-09",,,,,,,,,"0.11",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-10",,,,,,,,,"0.82",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-16",,,,,,,,,"0.03",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-17",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-19",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-22",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-23",,,,,,,,,"2.28",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-24",,,,,,,,,"0.01",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-27",,,,,,,,,"0.00","T,,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-28",,,,,,,,,"1.67",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-03-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-01",,,,,,,,,"0.10",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-02",,,,,,,,,"0.14",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-03",,,,,,,,,"0.19",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-04",,,,,,,,,"0.57",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-05",,,,,,,,,"0.01",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-06",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-07",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-08",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-09",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-10",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-11",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-12",,,,,,,,,"0.82",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-13",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-14",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-15",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-16",,,,,,,,,"0.24",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-17",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-18",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-19",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-20",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-21",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-22",,,,,,,,,"0.13",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-23",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-24",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-25",,,,,,,,,"0.00","T,,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-26",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-27",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-28",,,,,,,,,"0.15",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-29",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VAHR0034","HENRICO 5.8 W, VA US","37.63617","-77.65062","52.7","2024-04-30",,,,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
